BCR,BirdName,BirdScientificName,BirdCount
Southern Rockies/Colorado Plateau,American Goldfinch,Spinus tristis,870
Mississippi Alluvial Valley,Wood Thrush,Hylocichla mustelina,264
Piedmont,Kentucky Warbler,Geothlypis formosa,102
Great Basin,Dusky Flycatcher,Empidonax oberholseri,1858
Southern Rockies/Colorado Plateau,Bewick's Wren,Thryomanes bewickii,297
Central Hardwoods,American Goldfinch,Spinus tristis,1199
Western Alaska,Orange-crowned Warbler,Leiothlypis celata,362
Boreal Taiga Plains,Ovenbird,Seiurus aurocapilla,790
Prairie Potholes,American Goldfinch,Spinus tristis,846
Southern Rockies/Colorado Plateau,Western Flycatcher,Empidonax difficilis/occidentalis,171
Prairie Hardwood Transition,Red-eyed Vireo,Vireo olivaceus,230
Mississippi Alluvial Valley,Brown-headed Cowbird,Molothrus ater,261
Piedmont,Common Yellowthroat,Geothlypis trichas,1172
Northern Rockies,Song Sparrow,Melospiza melodia,2437
Prairie Potholes,Yellow Warbler,Setophaga petechia,1971
Southern Rockies/Colorado Plateau,Yellow-breasted Chat,Icteria virens,484
Appalachian Mountains,Traill's Flycatcher,Empidonax alnorum/traillii,345
Piedmont,Downy Woodpecker,Dryobates pubescens,217
Prairie Hardwood Transition,Song Sparrow,Melospiza melodia,1749
Boreal Taiga Plains,Lincoln's Sparrow,Melospiza lincolnii,391
Great Basin,Hermit Thrush,Catharus guttatus,540
Northern Rockies,American Redstart,Setophaga ruticilla,823
Lower Great Lakes/ St. Lawrence Plain,American Redstart,Setophaga ruticilla,379
Northern Rockies,Brown-headed Cowbird,Molothrus ater,528
Atlantic Northern Forest,American Robin,Turdus migratorius,578
Northern Rockies,Yellow-rumped Warbler,Setophaga coronata,1166
Northwestern Interior Forest,Lincoln's Sparrow,Melospiza lincolnii,245
Eastern Tallgrass Prairie,Kentucky Warbler,Geothlypis formosa,309
West Gulf Coastal Plain/Ouachitas,Yellow-breasted Chat,Icteria virens,245
Southern Rockies/Colorado Plateau,MacGillivray's Warbler,Geothlypis tolmiei,1054
New England/Mid-Atlantic Coast,Carolina Wren,Thryothorus ludovicianus,634
New England/Mid-Atlantic Coast,Acadian Flycatcher,Empidonax virescens,1034
Northern Pacific Rainforest,Bullock's Oriole,Icterus bullockii,479
Atlantic Northern Forest,Traill's Flycatcher,Empidonax alnorum/traillii,573
Piedmont,Veery,Catharus fuscescens,420
Southern Rockies/Colorado Plateau,American Robin,Turdus migratorius,1385
Appalachian Mountains,American Redstart,Setophaga ruticilla,1815
Sierra Madre Occidental,Western Flycatcher,Empidonax difficilis/occidentalis,405
Atlantic Northern Forest,Dark-eyed Junco,Junco hyemalis,191
Prairie Hardwood Transition,Warbling Vireo,Vireo gilvus,102
Coastal California,Song Sparrow,Melospiza melodia,5969
Sonoran And Mojave Deserts,Bewick's Wren,Thryomanes bewickii,119
Great Basin,Black-capped Chickadee,Poecile atricapillus,206
Northern Rockies,Red-eyed Vireo,Vireo olivaceus,268
West Gulf Coastal Plain/Ouachitas,Kentucky Warbler,Geothlypis formosa,280
Southeastern Coastal Plain,Summer Tanager,Piranga rubra,321
Sierra Madre Occidental,Summer Tanager,Piranga rubra,713
Lower Great Lakes/ St. Lawrence Plain,House Wren,Troglodytes aedon,349
Great Basin,Lazuli Bunting,Passerina amoena,1506
Southern Rockies/Colorado Plateau,Common Yellowthroat,Geothlypis trichas,147
Sierra Madre Occidental,Brown-headed Cowbird,Molothrus ater,169
Lower Great Lakes/ St. Lawrence Plain,Ovenbird,Seiurus aurocapilla,309
Sierra Nevada,Purple Finch,Haemorhous purpureus,926
Southern Rockies/Colorado Plateau,Gray Catbird,Dumetella carolinensis,647
Sierra Madre Occidental,Common Yellowthroat,Geothlypis trichas,1152
Appalachian Mountains,White-eyed Vireo,Vireo griseus,374
Prairie Potholes,Song Sparrow,Melospiza melodia,389
Sierra Nevada,Traill's Flycatcher,Empidonax alnorum/traillii,148
Central Hardwoods,Carolina Wren,Thryothorus ludovicianus,1037
Appalachian Mountains,Common Yellowthroat,Geothlypis trichas,1275
Sierra Madre Occidental,Western Tanager,Piranga ludoviciana,534
Prairie Potholes,Red-eyed Vireo,Vireo olivaceus,224
Appalachian Mountains,Gray Catbird,Dumetella carolinensis,3728
Northwestern Interior Forest,Yellow-rumped Warbler,Setophaga coronata,608
Sierra Nevada,Yellow-rumped Warbler,Setophaga coronata,2783
Southern Rockies/Colorado Plateau,Yellow-rumped Warbler,Setophaga coronata,352
Prairie Hardwood Transition,Ovenbird,Seiurus aurocapilla,406
Edwards Plateau,White-eyed Vireo,Vireo griseus,1052
Sonoran And Mojave Deserts,Brown-headed Cowbird,Molothrus ater,197
Sierra Madre Occidental,Yellow Warbler,Setophaga petechia,787
Northern Rockies,Lazuli Bunting,Passerina amoena,684
Southeastern Coastal Plain,Wood Thrush,Hylocichla mustelina,849
Tamaulipan Brushlands,Northern Cardinal,Cardinalis cardinalis,522
Northern Rockies,Dark-eyed Junco,Junco hyemalis,1309
Prairie Potholes,Black-headed Grosbeak,Pheucticus melanocephalus,116
Central Hardwoods,White-eyed Vireo,Vireo griseus,1317
Edwards Plateau,Carolina Wren,Thryothorus ludovicianus,219
Great Basin,Gray Catbird,Dumetella carolinensis,428
Lower Great Lakes/ St. Lawrence Plain,Northern Cardinal,Cardinalis cardinalis,363
Great Basin,Lincoln's Sparrow,Melospiza lincolnii,879
Northern Rockies,Western Tanager,Piranga ludoviciana,1286
Northern Rockies,Orange-crowned Warbler,Leiothlypis celata,887
Southern Rockies/Colorado Plateau,Western Wood-Pewee,Contopus sordidulus,341
Gulf Coastal Prairie,White-eyed Vireo,Vireo griseus,143
Atlantic Northern Forest,Yellow-rumped Warbler,Setophaga coronata,427
Eastern Tallgrass Prairie,Warbling Vireo,Vireo gilvus,106
Central Hardwoods,Brown-headed Cowbird,Molothrus ater,250
Boreal Hardwood Transition,Gray Catbird,Dumetella carolinensis,172
Atlantic Northern Forest,Black-capped Chickadee,Poecile atricapillus,615
Mississippi Alluvial Valley,Carolina Wren,Thryothorus ludovicianus,2213
Great Basin,Western Wood-Pewee,Contopus sordidulus,1372
Great Basin,Western Tanager,Piranga ludoviciana,2134
Sierra Nevada,Black-headed Grosbeak,Pheucticus melanocephalus,773
Central Hardwoods,American Robin,Turdus migratorius,390
Central Hardwoods,Gray Catbird,Dumetella carolinensis,1494
Piedmont,Prothonotary Warbler,Protonotaria citrea,163
Prairie Hardwood Transition,Gray Catbird,Dumetella carolinensis,3422
Sierra Nevada,Western Flycatcher,Empidonax difficilis/occidentalis,260
New England/Mid-Atlantic Coast,Indigo Bunting,Passerina cyanea,170
Northwestern Interior Forest,Wilson's Warbler,Cardellina pusilla,890
Great Basin,American Goldfinch,Spinus tristis,848
Lower Great Lakes/ St. Lawrence Plain,Field Sparrow,Spizella pusilla,243
Boreal Taiga Plains,Common Yellowthroat,Geothlypis trichas,156
Lower Great Lakes/ St. Lawrence Plain,American Goldfinch,Spinus tristis,2226
Lower Great Lakes/ St. Lawrence Plain,Common Yellowthroat,Geothlypis trichas,1509
New England/Mid-Atlantic Coast,American Redstart,Setophaga ruticilla,555
Sierra Madre Occidental,Traill's Flycatcher,Empidonax alnorum/traillii,103
Southeastern Coastal Plain,Kentucky Warbler,Geothlypis formosa,513
Northern Pacific Rainforest,Traill's Flycatcher,Empidonax alnorum/traillii,1324
Great Basin,Yellow-breasted Chat,Icteria virens,348
Southern Rockies/Colorado Plateau,Western Tanager,Piranga ludoviciana,544
Great Basin,Yellow-rumped Warbler,Setophaga coronata,2380
Oaks And Prairies,Field Sparrow,Spizella pusilla,324
Boreal Taiga Plains,White-throated Sparrow,Zonotrichia albicollis,1712
Appalachian Mountains,Field Sparrow,Spizella pusilla,327
Sierra Madre Occidental,Yellow-breasted Chat,Icteria virens,2694
Northern Rockies,Warbling Vireo,Vireo gilvus,1767
New England/Mid-Atlantic Coast,Northern Cardinal,Cardinalis cardinalis,1233
Lower Great Lakes/ St. Lawrence Plain,Veery,Catharus fuscescens,469
Northern Pacific Rainforest,Western Wood-Pewee,Contopus sordidulus,455
Southern Rockies/Colorado Plateau,Orange-crowned Warbler,Leiothlypis celata,279
Central Hardwoods,Kentucky Warbler,Geothlypis formosa,2860
Eastern Tallgrass Prairie,Yellow-breasted Chat,Icteria virens,418
Southeastern Coastal Plain,Red-eyed Vireo,Vireo olivaceus,468
Northwestern Interior Forest,Yellow Warbler,Setophaga petechia,566
Boreal Hardwood Transition,Common Yellowthroat,Geothlypis trichas,487
Central Mixed Grass Prairie,Painted Bunting,Passerina ciris,488
